                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.35604,                0.24123,                0.88279,                0.99056,                0.98319,                0.99093,                0.85652,                0.65575,                0.27871,                0.93442,               0.006634,               0.006634,               0.006634
                    104,                0.35292,                0.23938,                0.88234,                0.99079,                0.98316,                0.99089,                0.85609,                0.65557,                0.27827,                0.93413,               0.006601,               0.006601,               0.006601
                    105,                0.35456,                0.23856,                0.88301,                0.99075,                0.98313,                0.99081,                0.85558,                0.65524,                0.27847,                0.93364,               0.006568,               0.006568,               0.006568
                    106,                 0.3498,                0.23457,                0.87956,                0.99082,                 0.9832,                0.99089,                 0.8565,                0.65445,                0.27852,                 0.9332,               0.006535,               0.006535,               0.006535
                    107,                0.35197,                0.23948,                 0.8805,                0.99226,                0.98229,                0.99082,                0.85653,                0.65405,                0.27868,                0.93315,               0.006502,               0.006502,               0.006502
                    108,                0.35167,                0.23765,                0.88319,                0.99225,                0.98237,                0.99083,                0.85734,                0.65364,                0.27888,                0.93314,               0.006469,               0.006469,               0.006469
                    109,                0.35129,                0.23437,                 0.8848,                0.99321,                0.98133,                0.99089,                0.85775,                0.65306,                0.27806,                0.93289,               0.006436,               0.006436,               0.006436
                    110,                0.34837,                0.23414,                0.88178,                0.99173,                0.98005,                0.99089,                0.85811,                0.65289,                0.27756,                0.93294,               0.006403,               0.006403,               0.006403
                    111,                0.34888,                0.23577,                0.88252,                0.99027,                0.98215,                 0.9909,                0.85806,                0.65234,                0.27698,                0.93254,                0.00637,                0.00637,                0.00637
                    112,                0.35025,                0.23659,                0.87841,                0.98972,                0.98131,                0.99087,                0.85763,                0.65217,                0.27636,                0.93243,               0.006337,               0.006337,               0.006337
                    113,                0.34569,                0.23409,                0.87905,                0.98999,                0.98176,                0.99091,                0.85647,                0.65191,                0.27618,                0.93231,               0.006304,               0.006304,               0.006304
