                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.55652,                0.34973,                0.94357,                0.98092,                0.96739,                0.98841,                0.81359,                 0.7422,                0.36043,                0.98129,                0.00736,                0.00736,                0.00736
                     82,                0.55762,                0.34682,                 0.9456,                0.97574,                0.96428,                0.98612,                0.81475,                 0.7425,                0.36766,                0.97813,               0.007327,               0.007327,               0.007327
                     83,                0.55573,                0.34862,                 0.9419,                0.96928,                0.97119,                 0.9877,                0.82207,                0.73479,                0.36301,                0.98212,               0.007294,               0.007294,               0.007294
                     84,                0.55816,                0.34643,                0.95189,                0.98204,                0.96306,                0.98546,                0.81807,                0.74165,                0.35984,                  0.979,               0.007261,               0.007261,               0.007261
                     85,                   0.56,                0.34953,                0.94405,                  0.971,                0.96799,                0.98736,                0.81788,                0.73645,                0.36168,                0.97923,               0.007228,               0.007228,               0.007228
                     86,                0.55389,                0.34763,                0.94301,                0.97542,                0.96474,                0.98479,                0.82208,                0.74485,                0.36826,                 0.9848,               0.007195,               0.007195,               0.007195
                     87,                0.54958,                0.34052,                0.94037,                0.97783,                0.97695,                 0.9863,                0.82562,                0.74004,                0.35166,                0.98187,               0.007162,               0.007162,               0.007162
                     88,                 0.5432,                0.33821,                0.93553,                0.98321,                0.96211,                 0.9862,                0.81561,                0.75458,                0.36523,                0.99086,               0.007129,               0.007129,               0.007129
                     89,                0.54457,                0.33857,                0.94026,                0.98124,                0.96327,                0.98769,                0.82569,                 0.7402,                0.36035,                0.98685,               0.007096,               0.007096,               0.007096
                     90,                0.54864,                0.34341,                0.94485,                0.97231,                0.97175,                0.98864,                0.82191,                 0.7422,                0.35388,                0.98231,               0.007063,               0.007063,               0.007063
                     91,                0.54077,                0.33661,                0.94158,                 0.9775,                0.97126,                0.98719,                0.82513,                0.73859,                0.36088,                0.98176,                0.00703,                0.00703,                0.00703
                     92,                 0.5359,                0.33324,                0.93454,                0.98315,                0.96916,                0.98902,                0.82267,                0.74623,                0.35674,                0.98676,               0.006997,               0.006997,               0.006997
                     93,                0.53081,                0.33343,                 0.9345,                0.98179,                0.97239,                0.98799,                0.82595,                0.73621,                0.35313,                0.97975,               0.006964,               0.006964,               0.006964
                     94,                0.53706,                0.33801,                0.93463,                0.97238,                0.97379,                0.98752,                0.82458,                0.73719,                  0.352,                0.98127,               0.006931,               0.006931,               0.006931
                     95,                0.53569,                0.33595,                0.93624,                 0.9814,                0.96255,                0.98809,                0.82631,                0.73126,                0.35425,                0.98108,               0.006898,               0.006898,               0.006898
                     96,                0.52553,                0.32732,                0.92762,                0.98296,                0.97155,                0.98905,                0.82563,                0.72988,                0.35205,                0.98027,               0.006865,               0.006865,               0.006865
                     97,                0.53288,                0.33332,                0.93402,                0.98153,                0.96741,                0.98802,                0.81984,                0.73058,                0.35599,                0.97763,               0.006832,               0.006832,               0.006832
                     98,                 0.5282,                 0.3311,                  0.935,                0.98106,                0.97068,                0.98775,                0.82379,                0.73052,                0.35186,                0.97969,               0.006799,               0.006799,               0.006799
                     99,                0.52728,                 0.3278,                0.93244,                0.98274,                0.96654,                0.98795,                0.82278,                0.73789,                0.35071,                 0.9797,               0.006766,               0.006766,               0.006766
                    100,                0.52151,                 0.3276,                0.92939,                 0.9823,                0.96255,                0.98646,                0.82088,                0.73056,                0.35518,                0.97553,               0.006733,               0.006733,               0.006733
                    101,                0.51567,                0.32066,                0.93231,                0.97744,                0.97054,                0.98846,                0.82587,                0.72955,                 0.3476,                0.97398,                 0.0067,                 0.0067,                 0.0067
                    102,                0.51598,                0.32325,                0.93018,                0.97587,                0.97287,                0.98868,                0.82551,                 0.7223,                0.34246,                0.96964,               0.006667,               0.006667,               0.006667
                    103,                0.51786,                0.32285,                0.92494,                0.98636,                0.96821,                0.98914,                0.82822,                0.72312,                0.34829,                0.96751,               0.006634,               0.006634,               0.006634
                    104,                0.51177,                0.32517,                 0.9269,                0.98235,                0.97296,                 0.9902,                0.83016,                0.71613,                0.35074,                0.96803,               0.006601,               0.006601,               0.006601
                    105,                0.50756,                0.31883,                0.92369,                 0.9766,                0.97475,                0.98807,                0.83006,                0.73251,                0.34087,                0.98083,               0.006568,               0.006568,               0.006568
                    106,                0.50182,                0.31497,                0.92304,                0.97978,                0.96967,                0.98866,                  0.831,                0.72239,                0.34387,                0.97129,               0.006535,               0.006535,               0.006535
                    107,                0.50751,                0.32002,                0.92586,                0.97906,                0.97378,                0.98849,                   0.83,                0.71416,                0.33838,                0.96445,               0.006502,               0.006502,               0.006502
                    108,                0.50931,                0.31534,                0.92659,                0.97516,                0.97616,                0.98832,                0.82596,                0.72352,                0.34684,                0.97532,               0.006469,               0.006469,               0.006469
                    109,                0.51657,                0.31955,                0.93115,                0.98585,                 0.9707,                0.99001,                0.82977,                 0.7182,                0.33699,                0.96904,               0.006436,               0.006436,               0.006436
                    110,                0.50297,                0.31702,                0.92803,                0.98334,                0.96769,                0.98879,                0.82955,                0.72653,                0.34675,                0.97857,               0.006403,               0.006403,               0.006403
                    111,                0.50788,                0.31697,                0.92962,                0.98707,                0.96973,                0.98779,                0.82747,                0.72636,                0.34422,                0.98201,                0.00637,                0.00637,                0.00637
                    112,                0.49684,                0.31459,                0.92305,                0.99023,                0.97082,                0.98682,                0.82819,                 0.7175,                0.33954,                0.97656,               0.006337,               0.006337,               0.006337
                    113,                0.50482,                0.31418,                0.92459,                0.98685,                0.97835,                0.98883,                0.83192,                0.71462,                0.33085,                0.96654,               0.006304,               0.006304,               0.006304
